afsløring		sb.	11000721	-1	afsløring;afsløringen;afsløringens;afsløringer;afsløringerne;afsløringernes;afsløringers;afslørings
afsmag		sb.	11000723	-2	afsmag;afsmagen;afsmagens;afsmags
afsmitning		sb.	11000727	-1	afsmitning;afsmitningen;afsmitningens;afsmitninger;afsmitningerne;afsmitningernes;afsmitningers;afsmitnings
afsondrethed		sb.	11000734	-2	afsondrethed;afsondretheden;afsondrethedens;afsondretheds
afsondring		sb.	11000735	-1	afsondring;afsondringen;afsondringens;afsondringer;afsondringerne;afsondringernes;afsondringers;afsondrings
afspise		vb.	11000746	-1	afspis;afspise;afspisende;afspiser;afspises;afspist;afspiste;afspistes;afspists
afspisning		sb.	51003300	-1	afspisning;afspisningen;afspisningens;afspisninger;afspisningerne;afspisningernes;afspisningers;afspisnings
afspore		vb.	11000747	-2	afspor;afspore;afsporede;afsporende;afsporer;afspores;afsporet
afsporing		sb.	11000748	-2	afsporing;afsporingen;afsporingens;afsporinger;afsporingerne;afsporingernes;afsporingers;afsporings
afspænding		sb.	11000750	2	afspænding;afspændingen;afspændingens;afspændings
afspærre		vb.	11000753	-1	afspær;afspærre;afspærrede;afspærrende;afspærrer;afspærres;afspærret
afspærring		sb.	11000754	-1	afspærring;afspærringen;afspærringens;afspærringer;afspærringerne;afspærringernes;afspærringers;afspærrings
afstandtagen		sb.	11000759	-2	afstandtagen;afstandtagens
afstandtagende		adj.	53201255	-2	afstandtagende;afstandtagendes
afstemme		vb.	11000762	1	afstem;afstemme;afstemmende;afstemmer;afstemmes;afstemt;afstemte;afstemtes;afstemts
afstemning		sb.	11000763	1	afstemning;afstemningen;afstemningens;afstemninger;afstemningerne;afstemningernes;afstemningers;afstemnings
afstivning		sb.	11000770	1	afstivning;afstivningen;afstivningens;afstivninger;afstivningerne;afstivningernes;afstivningers;afstivnings
afstraffe		vb.	11000771	-3	afstraf;afstraffe;afstraffede;afstraffende;afstraffer;afstraffes;afstraffet
afstraffelse		sb.	11000772	-3	afstraffelse;afstraffelsen;afstraffelsens;afstraffelser;afstraffelserne;afstraffelsernes;afstraffelsers;afstraffelses
